id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
48018,0.67547,tcp,ftp,FIN,12,12,2616,682,34.050365,254,252,28400.96484,7414.09668,3,4,61.406365,52.081363,3035.186668,64.822973,255,2162593193,2671705107,255,0.162189,0.101743,0.060446,218,57,0,0,3,1,2,2,1,3,0,0,0,5,3,0,Fuzzers,1
48024,0.758792,tcp,ftp,FIN,12,12,1592,682,30.311338,254,252,15392.8877,6599.964355,3,4,68.981089,56.896637,3479.837164,74.756141,255,1702919478,632938280,255,0.148118,0.107154,0.040964,133,57,0,0,2,1,2,1,1,3,0,0,0,2,2,0,Fuzzers,1
48028,55.968578,tcp,ftp,FIN,28,24,1560,1364,0.911226,254,252,215.120697,186.962051,16,10,2072.012854,2429.71775,327619.0985,10979.056,255,3730612194,2988658491,255,0.193921,0.085057,0.108864,56,57,0,0,3,1,1,1,1,3,2,2,0,1,3,0,Fuzzers,1
48034,1.210288,tcp,ftp,FIN,14,12,810,682,20.65624,254,252,4977.327637,4137.85791,4,4,93.032536,100.553273,4780.272456,124.781102,255,2181035859,3743429902,255,0.215281,0.104195,0.111086,58,57,0,0,2,1,1,1,1,2,1,1,0,1,2,0,Fuzzers,1
48105,0.232816,tcp,-,FIN,10,6,520,268,64.428563,254,252,16081.36914,7697.06543,2,1,24.365,37.95,1388.925166,62.67182,255,3421550673,2671238035,255,0.103949,0.043058,0.060891,52,45,0,0,3,1,3,3,1,3,0,0,0,3,3,0,Fuzzers,1
48107,0.414332,tcp,-,FIN,10,6,604,268,36.202852,254,252,10503.6543,4325.03418,2,1,46.036889,67.561203,2600.453079,128.194789,255,2687291769,3006365151,255,0.124701,0.057386,0.067315,60,45,0,0,4,1,1,1,1,4,0,0,0,1,4,0,Fuzzers,1
48113,0.765948,tcp,ftp,FIN,14,12,750,682,32.639292,254,252,7279.867676,6538.302734,4,4,58.90577,64.387363,3026.566898,78.349031,255,177151243,1059375229,255,0.111537,0.057679,0.053858,54,57,0,0,4,1,1,1,1,4,1,1,0,1,4,0,Fuzzers,1
48116,0.96005,tcp,ftp,FIN,14,12,750,682,26.040311,254,252,5808.030762,5216.39502,4,4,71.376541,77.873453,3545.693761,88.740117,255,1398008940,881080843,255,0.18189,0.103433,0.078457,54,57,0,0,3,1,1,1,1,3,1,1,0,2,3,0,Fuzzers,1
48123,0.394325,tcp,-,FIN,10,6,534,268,38.039689,254,252,9758.448242,4544.475098,2,1,41.168,65.245,2194.77955,97.811219,255,433146084,713507480,255,0.1341,0.068091,0.066009,53,45,0,0,2,1,1,1,1,2,0,0,0,1,2,0,Fuzzers,1
48134,31.56226,tcp,-,FIN,20,12,2216,536,0.982186,254,252,533.802063,124.705902,4,1,1659.707526,2863.0295,222837.7046,8828.67,255,505094852,3433063302,255,0.144251,0.06893,0.075321,111,45,0,0,6,1,4,3,3,6,0,0,0,3,7,0,Fuzzers,1
